iter	Logloss
0	0.6912405396
1	0.6891335297
2	0.6874424744
3	0.6851933289
4	0.6835075378
5	0.6817149353
6	0.6798103333
7	0.6782709503
8	0.6769293976
9	0.6756089783
10	0.6730463409
11	0.6703417969
12	0.6677203369
13	0.665934906
14	0.6644522095
15	0.6615603638
16	0.6597268677
17	0.6583587646
18	0.6565924835
19	0.6560758209
20	0.6538711548
21	0.6522999573
22	0.6504907227
23	0.6477456665
24	0.6466399384
25	0.6442856598
26	0.6425426483
27	0.6402877808
28	0.6385712051
29	0.6369061279
30	0.6342706299
31	0.6338375473
32	0.6314491272
33	0.6294815826
34	0.627610321
35	0.6271127319
36	0.6254999542
37	0.6245475388
38	0.6233140564
39	0.6218011475
40	0.6205563736
41	0.6192720413
42	0.6174279785
43	0.6156604004
44	0.6144104004
45	0.6125567627
46	0.6109579468
47	0.6103036499
48	0.6077568817
49	0.6055453491
50	0.6033905029
51	0.6021012115
52	0.6001287079
53	0.5986122513
54	0.5969005203
55	0.5952033234
56	0.5933600998
57	0.5912443161
58	0.5898708725
59	0.5882746506
60	0.5871446228
61	0.5864598846
62	0.5846888733
63	0.5831069183
64	0.5821998596
65	0.5814050293
66	0.5803860092
67	0.578626442
68	0.5773418427
69	0.5759894562
70	0.5750242615
71	0.5731788254
72	0.5722519302
73	0.5710635376
74	0.5698448181
75	0.5680362701
76	0.5666960144
77	0.565225296
78	0.5640998459
79	0.5623836517
80	0.5611007309
81	0.5595416641
82	0.5585274124
83	0.5571710205
84	0.556924057
85	0.5559447098
86	0.5547726059
87	0.5544487762
88	0.5534004211
89	0.5520131683
90	0.5505426025
91	0.5494905853
92	0.5494120026
93	0.5481713867
94	0.547256813
95	0.5460384369
96	0.5448260498
97	0.5431371307
98	0.541878891
99	0.5410803223
100	0.5406311798
101	0.5396581268
102	0.5394132996
103	0.5377863693
104	0.5365203094
105	0.5353607941
106	0.5342746735
107	0.5334248352
108	0.5326347733
109	0.5310689545
110	0.5303319931
111	0.5290419006
112	0.5282059479
113	0.5269655991
114	0.5258147049
115	0.5246098328
116	0.52459198
117	0.523680191
118	0.5223375702
119	0.5205618286
120	0.5195492935
121	0.5187289047
122	0.5186504745
123	0.5176735306
124	0.5171256256
125	0.5162647247
126	0.5152044678
127	0.5143313217
128	0.513670845
129	0.5124265289
130	0.5109731674
131	0.509948616
132	0.5090940094
133	0.5081598282
134	0.5070545578
135	0.5059875488
136	0.5050675201
137	0.5038386536
138	0.5037149811
139	0.5026448059
140	0.5015817261
141	0.5003083038
142	0.4993717194
143	0.4982312393
144	0.4972332764
145	0.4960527039
146	0.495335083
147	0.4943693161
148	0.4940146255
149	0.4931174088
150	0.4918656921
151	0.4906330872
152	0.4899349594
153	0.488796196
154	0.4876290894
155	0.4869655991
156	0.4860036469
157	0.4848143768
158	0.4839034271
159	0.4832321167
160	0.4826769257
161	0.4815392303
162	0.4807557678
163	0.4797968674
164	0.4792427063
165	0.4783221054
166	0.4782529449
167	0.4770569611
168	0.4760043716
169	0.4749208832
170	0.4742161179
171	0.4735383606
172	0.4734098816
173	0.4729975891
174	0.472091713
175	0.4710562134
176	0.4699342728
177	0.4691275024
178	0.4684608078
179	0.4673375702
180	0.4673293686
181	0.4662714005
182	0.4652557755
183	0.4642752075
184	0.4637751007
185	0.4627878571
186	0.4615471649
187	0.4608514404
188	0.4600431061
189	0.4587159729
190	0.4579559326
191	0.4571364975
192	0.4561925888
193	0.455393219
194	0.4546216202
195	0.4535374451
196	0.4529024506
197	0.4524821472
198	0.4516924286
199	0.4510301208
