iter	Passed	Remaining
0	232	46329
1	241	23874
2	268	17617
3	285	13965
4	366	14281
5	381	12346
6	396	10928
7	410	9847
8	427	9064
9	432	8220
10	450	7734
11	467	7317
12	482	6938
13	495	6588
14	512	6316
15	527	6066
16	541	5832
17	550	5567
18	564	5376
19	574	5168
20	593	5055
21	613	4965
22	639	4923
23	661	4849
24	680	4762
25	694	4650
26	709	4542
27	722	4439
28	735	4337
29	743	4214
30	774	4223
31	786	4128
32	804	4069
33	820	4006
34	835	3939
35	841	3833
36	863	3804
37	874	3726
38	890	3674
39	898	3593
40	912	3537
41	929	3495
42	943	3445
43	958	3396
44	973	3352
45	990	3316
46	1004	3269
47	1012	3206
48	1028	3169
49	1043	3129
50	1057	3089
51	1073	3056
52	1087	3016
53	1101	2977
54	1108	2922
55	1119	2879
56	1132	2841
57	1142	2798
58	1150	2750
59	1159	2706
60	1166	2658
61	1177	2621
62	1185	2576
63	1193	2535
64	1200	2494
65	1209	2455
66	1216	2415
67	1224	2376
68	1231	2337
69	1240	2302
70	1247	2267
71	1255	2231
72	1263	2197
73	1271	2164
74	1278	2130
75	1285	2097
76	1292	2065
77	1300	2033
78	1308	2003
79	1316	1975
80	1323	1943
81	1331	1916
82	1338	1886
83	1346	1859
84	1352	1829
85	1360	1803
86	1368	1777
87	1375	1750
88	1383	1725
89	1391	1700
90	1398	1675
91	1405	1649
92	1410	1622
93	1418	1599
94	1426	1576
95	1433	1553
96	1441	1530
97	1447	1507
98	1455	1485
99	1462	1462
100	1468	1439
101	1475	1417
102	1480	1394
103	1487	1373
104	1493	1351
105	1499	1329
106	1506	1309
107	1512	1288
108	1518	1268
109	1524	1247
110	1530	1227
111	1537	1208
112	1543	1188
113	1550	1169
114	1556	1150
115	1565	1133
116	1568	1112
117	1575	1094
118	1582	1076
119	1589	1059
120	1599	1044
121	1608	1028
122	1613	1009
123	1620	992
124	1626	975
125	1633	959
126	1639	942
127	1646	926
128	1652	909
129	1659	893
130	1665	877
131	1670	860
132	1678	845
133	1684	829
134	1692	815
135	1701	800
136	1708	785
137	1714	770
138	1718	754
139	1725	739
140	1731	724
141	1738	710
142	1745	695
143	1752	681
144	1760	667
145	1766	653
146	1774	639
147	1781	626
148	1789	612
149	1795	598
150	1802	584
151	1808	571
152	1815	557
153	1821	544
154	1828	530
155	1835	517
156	1843	504
157	1851	492
158	1857	479
159	1865	466
160	1872	453
161	1881	441
162	1888	428
163	1896	416
164	1903	403
165	1910	391
166	1914	378
167	1920	365
168	1928	353
169	1934	341
170	1940	329
171	1950	317
172	1955	305
173	1962	293
174	1968	281
175	1974	269
176	1980	257
177	1986	245
178	1992	233
179	1999	222
180	2003	210
181	2009	198
182	2015	187
183	2022	175
184	2028	164
185	2042	153
186	2050	142
187	2057	131
188	2064	120
189	2071	109
190	2079	97
191	2087	86
192	2094	75
193	2102	65
194	2145	55
195	2156	44
196	2169	33
197	2176	21
198	2188	10
199	2198	0
