Date,Age,Gender,City,Customer_Type,Product_Category,Quantity,Unit_Cost,Unit_Price,Discount,Payment_Method,Customer_Satisfaction,Previous_Purchases,Revenue
2024-12-25 20:28:17.929792976,61.0,Homme,Dakar,Occasionnel,Mode,3,1678.0,2531.0,0.022,Orange Money,3.4,6,7426.0
2024-10-24 10:21:42.610261024,26.0,Femme,Touba,Fidèle,Électronique,2,193.0,293.0,0.059,Espèces,3.4,6,551.0
2023-12-04 20:11:26.948694868,53.0,Homme,Kaolack,Fidèle,Beauté,3,1087.0,1534.0,0.066,Espèces,2.6,3,4298.0
2023-09-10 07:31:03.186318632,40.0,Homme,Touba,Occasionnel,Électronique,6,1283.0,2166.0,0.029,Carte bancaire,1.9,6,12619.0
2025-06-16 15:52:13.393339328,39.0,Homme,Dakar,Occasionnel,Alimentation,6,1083.0,1704.0,0.153,Carte bancaire,5.0,3,8660.0
2023-11-26 07:11:10.747074704,61.0,Homme,Ziguinchor,Occasionnel,Mode,6,4314.0,5809.0,0.014,Espèces,3.2,6,34366.0
2023-12-06 11:36:53.141314128,66.0,Femme,Dakar,Occasionnel,Mode,8,1206.0,1810.0,0.118,Espèces,3.0,10,12771.0
2024-07-20 14:37:54.707470744,24.0,Femme,Saint-Louis,Fidèle,Électronique,4,1180.0,1601.0,0.012,Espèces,3.3,7,6327.0
2025-07-09 10:32:56.597659760,33.0,Femme,Kaolack,Occasionnel,Mode,4,324.0,519.0,0.126,Espèces,2.0,1,1814.0
2025-03-07 19:14:25.166516648,29.0,Femme,Thiès,Occasionnel,Électronique,7,1033.0,1367.0,0.11,Virement,4.1,3,8516.0
2025-01-18 20:03:40.342034200,38.0,Homme,Dakar,Occasionnel,Mode,6,1686.0,2639.0,0.078,Carte bancaire,3.9,7,14599.0
2025-04-14 00:50:58.865886576,50.0,Homme,Dakar,Fidèle,Beauté,2,1276.0,1897.0,0.032,Wave,4.6,4,3673.0
2023-01-30 13:37:51.467146714,49.0,Femme,Rufisque,Occasionnel,Mode,4,1631.0,2269.0,0.085,Espèces,3.2,3,8305.0
2025-07-03 12:37:22.304230416,51.0,Homme,Dakar,Occasionnel,Maison,2,692.0,1029.0,0.062,Carte bancaire,4.7,2,1930.0
2024-04-18 17:51:53.951395136,64.0,Homme,Kaolack,Occasionnel,Beauté,2,1079.0,1781.0,0.092,Wave,3.8,5,3234.0
2025-06-04 12:07:59.567956784,43.0,Homme,Dakar,Occasionnel,Alimentation,6,1307.0,2092.0,0.116,Wave,3.7,3,11096.0
2023-01-28 22:12:25.274527452,7.0,Homme,Kaolack,Occasionnel,Électronique,6,386.0,586.0,0.074,Wave,2.2,5,3256.0
2024-07-17 13:02:25.814581456,67.0,Homme,Dakar,Occasionnel,Mode,4,472.0,671.0,0.139,Espèces,4.6,5,2311.0
2024-08-31 15:53:05.238523848,68.0,Femme,Thiès,Occasionnel,Maison,5,530.0,665.0,0.054,Wave,1.9,3,3145.0
2024-09-12 09:06:32.079207920,23.0,Homme,Saint-Louis,Occasionnel,Mode,2,1032.0,1518.0,0.105,Wave,2.6,4,2717.0
2025-07-15 16:21:36.129612960,43.0,Homme,Kaolack,Fidèle,Beauté,4,1094.0,1593.0,0.069,Orange Money,2.8,3,5932.0
2023-11-16 15:53:57.083708368,22.0,Homme,Thiès,Occasionnel,Maison,8,2720.0,3231.0,0.042,Wave,3.1,3,24762.0
2023-03-19 18:03:59.783978397,33.0,Femme,Kaolack,Fidèle,Électronique,2,1189.0,1776.0,0.075,Virement,4.4,7,3286.0
2024-06-22 08:32:24.194419440,55.0,Femme,Kaolack,Occasionnel,Mode,5,576.0,781.0,0.068,Orange Money,2.3,5,3639.0
2023-09-03 15:11:36.669666964,24.0,Homme,Dakar,Occasionnel,Maison,4,2210.0,2769.0,0.061,Wave,4.1,4,10400.0
2025-06-10 20:34:20.846084608,44.0,Homme,Rufisque,Occasionnel,Maison,3,1665.0,2397.0,0.107,Carte bancaire,3.1,5,6422.0
